name,value,timestep,step
MaxRew,-10.63702869442849,0,80
MeanRew_lower,4.130694952649181,0,80
MeanRew_upper,-14.765760325002557,0,80
MeanSlowdown,4.926545454545455,0,80
MeanLen+,133.50333333333333,0,80
MeanLen-,20.561857622522552,0,80
MeanEntropy,1.9350494,0,80
NumTrajs,300,0,81
NumTimesteps,39572,0,81
MaxRew,-10.610474398910593,0,81
MeanRew_lower,3.9495649338950467,0,81
MeanRew_upper,-14.619281136144112,0,81
MeanSlowdown,4.856813773035888,0,81
MeanLen+,131.90666666666667,0,81
MeanLen-,24.863721005155732,0,81
MeanEntropy,2.0166142,0,81
NumTrajs,300,0,82
NumTimesteps,39810,0,82
MaxRew,-10.621265488678562,0,82
MeanRew_lower,3.9631409559245827,0,82
MeanRew_upper,-14.681580341017273,0,82
MeanSlowdown,4.872484848484849,0,82
MeanLen+,132.7,0,82
MeanLen-,21.00801434373717,0,82
MeanEntropy,1.9960674,0,82
NumTrajs,300,0,83
NumTimesteps,41225,0,83
MaxRew,-10.4515526405313,0,83
MeanRew_lower,3.9996819155470447,0,83
MeanRew_upper,-14.593744577971883,0,83
MeanSlowdown,4.8462565222667155,0,83
MeanLen+,137.41666666666666,0,83
MeanLen-,37.415812907854296,0,83
MeanEntropy,1.9270045,0,83
NumTrajs,300,0,84
NumTimesteps,41858,0,84
MaxRew,-10.979713714603289,0,84
MeanRew_lower,4.139746801060007,0,84
MeanRew_upper,-14.962046091292557,0,84
MeanSlowdown,5.009701673538685,0,84
MeanLen+,139.52666666666667,0,84
MeanLen-,45.87609350800868,0,84
MeanEntropy,1.9295167,0,84
NumTrajs,300,0,85
NumTimesteps,40114,0,85
